0.6201, 0.6329
0.5930, 0.6581
0.5828, 0.6633
0.5762, 0.6725
0.5724, 0.6783
0.5692, 0.6763
0.5663, 0.6809
0.5636, 0.6849
0.5603, 0.6857
0.5587, 0.6901
0.5568, 0.6947
0.5546, 0.6935
0.5526, 0.6967
0.5505, 0.6997
0.5498, 0.6967
0.5473, 0.7009
0.5463, 0.7042
0.5445, 0.7052
0.5428, 0.7056
0.5414, 0.7075
0.5411, 0.7051
0.5402, 0.7074
0.5393, 0.7069
0.5386, 0.7142
0.5365, 0.7136
0.5362, 0.7116
0.5355, 0.7101
0.5341, 0.7157
0.5330, 0.7164
0.5330, 0.7147
0.5313, 0.7129
0.5319, 0.7167
0.5298, 0.7181
0.5299, 0.7154
0.5285, 0.7176
0.5270, 0.7197
0.5268, 0.7197
0.5260, 0.7190
0.5256, 0.7188
0.5242, 0.7176
0.5260, 0.7195
0.5238, 0.7222
0.5219, 0.7226
0.5224, 0.7210
0.5210, 0.7237
0.5214, 0.7211
0.5209, 0.7229
0.5211, 0.7211
0.5187, 0.7259
0.5204, 0.7247
0.5173, 0.7244
0.5185, 0.7242
0.5163, 0.7251
0.5161, 0.7273
0.5174, 0.7253
0.5159, 0.7262
0.5158, 0.7259
0.5140, 0.7275
0.5148, 0.7285
0.5130, 0.7310
0.5138, 0.7287
0.5124, 0.7298
0.5118, 0.7295
0.5120, 0.7293
0.5116, 0.7275
0.5119, 0.7328
0.5121, 0.7291
0.5104, 0.7308
0.5101, 0.7305
0.5095, 0.7315
0.5092, 0.7330
0.5083, 0.7306
0.5089, 0.7315
0.5078, 0.7342
0.5079, 0.7323
0.5081, 0.7361
0.5070, 0.7344
0.5047, 0.7363
0.5048, 0.7348
0.5081, 0.7319
0.5061, 0.7321
0.5064, 0.7346
0.5030, 0.7356
0.5038, 0.7384
0.5034, 0.7346
0.5036, 0.7376
0.5031, 0.7361
0.5035, 0.7362
0.5041, 0.7362
0.5023, 0.7327
0.5023, 0.7372
0.5015, 0.7365
0.5019, 0.7356
0.5017, 0.7386
0.5015, 0.7371
0.5022, 0.7351
0.5010, 0.7403
0.4996, 0.7367
0.4995, 0.7399
0.5010, 0.7380
